,Train_filename,Gen_filename,Train_duration,Gen_duration,Difference
18576,b-2_2311-2412_2378.wav,VTTS_b-2_2311-2412_2378.wav,4960,3901,1059
18577,b-1_377-477_388.wav,VTTS_b-1_377-477_388.wav,830,1173,-343
18578,b-3_98-195_185.wav,VTTS_b-3_98-195_185.wav,2970,3657,-687
18579,b-4_2000-5164_3206.wav,VTTS_b-4_2000-5164_3206.wav,2570,2101,469
18580,b-3_6801-6900_6857.wav,VTTS_b-3_6801-6900_6857.wav,3400,3495,-95
18581,b-3_3279-3363_3294.wav,VTTS_b-3_3279-3363_3294.wav,8430,8742,-312
18582,b-1_3228-3328_3313.wav,VTTS_b-1_3228-3328_3313.wav,2040,2032,8
18583,b-3_5009-5427_5057.wav,VTTS_b-3_5009-5427_5057.wav,5060,4981,79
18584,b-4_401-500_439.wav,VTTS_b-4_401-500_439.wav,4590,4609,-19
18585,b-2_1903-2038_1952.wav,VTTS_b-2_1903-2038_1952.wav,1740,1730,10
18586,b-3_4207-4314_4307.wav,VTTS_b-3_4207-4314_4307.wav,5640,5201,439
18587,b-4_2000-5164_2399.wav,VTTS_b-4_2000-5164_2399.wav,8805,11389,-2584
18588,b-4_2000-5164_4933.wav,VTTS_b-4_2000-5164_4933.wav,3506,3320,186
18589,b-3_3538-3627_3614.wav,VTTS_b-3_3538-3627_3614.wav,5200,6606,-1406
18590,b-4_53-150_65.wav,VTTS_b-4_53-150_65.wav,8910,8603,307
18591,b-3_3889-4000_3919.wav,VTTS_b-3_3889-4000_3919.wav,3540,3483,57
18592,b-4_1506-1600_1594.wav,VTTS_b-4_1506-1600_1594.wav,5700,5503,197
18593,b-4_2000-5164_2628.wav,VTTS_b-4_2000-5164_2628.wav,3425,3611,-186
18594,b-3_3715-3802_3751.wav,VTTS_b-3_3715-3802_3751.wav,6130,5457,673
18595,b-2_407-508_451.wav,VTTS_b-2_407-508_451.wav,3020,3471,-451
18596,b-3_3803-3888_3847.wav,VTTS_b-3_3803-3888_3847.wav,3450,3553,-103
18597,b-2_2311-2412_2338.wav,VTTS_b-2_2311-2412_2338.wav,5850,6188,-338
18598,b-1_2119-2219_2204.wav,VTTS_b-1_2119-2219_2204.wav,4940,4238,702
18599,b-2_1801-1902_1808.wav,VTTS_b-2_1801-1902_1808.wav,4830,6711,-1881
18600,b-4_2000-5164_4954.wav,VTTS_b-4_2000-5164_4954.wav,2470,2368,102
18601,b-3_6116-6215_6133.wav,VTTS_b-3_6116-6215_6133.wav,4160,11610,-7450
18602,b-4_2000-5164_2615.wav,VTTS_b-4_2000-5164_2615.wav,1660,1614,46
18603,b-1_478-578_540.wav,VTTS_b-1_478-578_540.wav,1770,2020,-250
18604,b-1_4070-4105_4086.wav,VTTS_b-1_4070-4105_4086.wav,1230,1231,-1
18605,b-4_2000-5164_2176.wav,VTTS_b-4_2000-5164_2176.wav,4445,5364,-919
18606,b-2_2413-2500_2497.wav,VTTS_b-2_2413-2500_2497.wav,1280,1149,131
18607,b-4_2000-5164_2674.wav,VTTS_b-4_2000-5164_2674.wav,5810,6502,-692
18608,b-3_1-97_34.wav,VTTS_b-3_1-97_34.wav,2900,2961,-61
18609,b-4_2000-5164_4067.wav,VTTS_b-4_2000-5164_4067.wav,6398,6803,-405
18610,b-3_501-930_709.wav,VTTS_b-3_501-930_709.wav,3200,3448,-248
18611,b-4_151-300_288.wav,VTTS_b-4_151-300_288.wav,6190,9056,-2866
18612,b-1_2826-2926_2909.wav,VTTS_b-1_2826-2926_2909.wav,5560,4957,603
18613,b-3_5009-5427_5147.wav,VTTS_b-3_5009-5427_5147.wav,3130,2891,239
18614,b-3_1666-1763_1722.wav,VTTS_b-3_1666-1763_1722.wav,3120,2972,148
18615,b-3_1079-1320_1157.wav,VTTS_b-3_1079-1320_1157.wav,5500,5538,-38
18616,b-2_2040-2072_2053.wav,VTTS_b-2_2040-2072_2053.wav,1730,9474,-7744
18617,b-1_1717-1817_1723.wav,VTTS_b-1_1717-1817_1723.wav,1130,929,201
18618,b-1_2422-2522_2465.wav,VTTS_b-1_2422-2522_2465.wav,1650,1637,13
18619,b-1_2725-2825_2725.wav,VTTS_b-1_2725-2825_2725.wav,4690,4214,476
18620,b-3_501-930_710.wav,VTTS_b-3_501-930_710.wav,2410,2833,-423
18621,b-1_3026-3126_3097.wav,VTTS_b-1_3026-3126_3097.wav,4440,4737,-297
18622,b-4_501-1014_870.wav,VTTS_b-4_501-1014_870.wav,6940,7152,-212
18623,b-4_151-300_160.wav,VTTS_b-4_151-300_160.wav,2720,3042,-322
18624,b-1_2927-3025_2971.wav,VTTS_b-1_2927-3025_2971.wav,2320,2241,79
18625,b-1_3228-3328_3257.wav,VTTS_b-1_3228-3328_3257.wav,2960,2972,-12
18626,b-4_501-1014_607.wav,VTTS_b-4_501-1014_607.wav,1560,1614,-54
18627,b-4_1-52_46.wav,VTTS_b-4_1-52_46.wav,14760,11610,3150
18628,b-4_2000-5164_4175.wav,VTTS_b-4_2000-5164_4175.wav,7646,10855,-3209
18629,b-1_794-1009_1009.wav,VTTS_b-1_794-1009_1009.wav,1050,998,52
18630,b-3_1862-1959_1922.wav,VTTS_b-3_1862-1959_1922.wav,9830,9137,693
18631,b-1_2927-3025_2949.wav,VTTS_b-1_2927-3025_2949.wav,2660,2635,25
